Date,Mine Name,City,State,Killed,Product,Accident Type,Mine Type,Mining Sector
1920-07-26,No. 6,Sublet,WY,8,Coal,Exposives,UG,Coal
1920-08-13,Pounding Mills Quarry,Pounding Mills,VA,9,Rock,Explosives,Surface,NonMetal
1920-08-21,No. 19,Degnan,OK,10,Coal,Explosion,UG,Coal
1920-11-16,Arnold,Earlington,KY,6,Coal,Fire,UG,Coal
1920-11-23,Parrish,Parrish,AL,12,Coal,Explosion,UG,Coal
1921-02-12,Moffat Nos. 1 & 2,Oak Hill,CO,5,Coal,Explosion,UG,Coal
1921-02-23,Kathleen,Dowell,IL,7,Coal,Fire,UG,Coal
1921-03-09,Rahn No. 11,Seek,PA,5,Coal,Explosion,UG,Coal
1921-08-31,Harco,Harrisburg,IL,12,Coal,Explosion,UG,Coal
1921-12-13,Satanic,Morrison,CO,6,Coal,Fire,UG,Coal
1922-01-30,Layman,Hulen,KY,6,Coal,Explosion,UG,Coal
1922-02-02,Gates No. 2,Gates,PA,25,Coal,Explosion,UG,Coal
1922-02-02,Belle Ellen No. 2,Belle Ellen,AL,9,Coal,Explosion,UG,Coal
1922-02-07,Marietta,Pinson Fork,KY,9,Coal,Explosion,UG,Coal
1922-03-20,Dilltown No. 1,Dilltown,PA,5,Coal,Explosion,UG,Coal
1922-03-24,Sopris No. 2,Sopris,CO,17,Coal,Explosion,UG,Coal
1922-05-25,Acmar No. 3,Acmar,AL,11,Coal,Explosion,UG,Coal
1922-06-25,Central Coal & Coke,Huntington,AR,5,Coal,Suffocation,UG,Coal
1922-06-27,Holston Quarry,Strawplains,TN,9,Marble,Explosion,UG,Coal
1922-08-27,Argonaut,Jackson,CA,47,Gold,Fire,UG,Metal
1922-09-22,Raleigh-Wyoming #2,Glen Rogers,WV,5,Coal,Haulage,UG,Coal
1922-09-28,Lake Creek,Johnston City,IL,5,Coal,Explosion,UG,Coal
1922-10-10,No. 11 Progressive,McCurtain,OK,8,Coal,Explosion,UG,Coal
1922-11-05,#4 Anthracite Mine,Madrid,NM,7,Coal,Explosion,UG,Coal
1922-11-06,Reilly No. 1,Spangler,PA,79,Coal,Explosion,UG,Coal
1922-11-22,Dolomite No. 3,Dolomite,AL,90,Coal,Explosion,UG,Coal
1922-11-25,No. 4,Cerillos,NM,12,Coal,Explosion,UG,Coal
1923-01-10,Dolomite No. 1,Dolomite,AL,5,Coal,Explosion,UG,Coal
1923-02-08,Stag Canon No. 1,Dawson,MN,120,Coal,Explosion,UG,Coal
1923-02-21,Alliance,Kaska,PA,5,Coal,Explosion,UG,Coal
1923-03-02,Arista,Arista,WV,10,Coal,Explosion,UG,Coal
1923-05-04,Southwestern,Aguilar,CO,10,Coal,Explosion,UG,Coal
1923-06-26,Richards Colliery,Mount Carmel,PA,5,Coal,Explosion,UG,Coal
1923-07-12,Sloss No. 1,Bessemer,AL,5,Iron,Haulage - man-trip,UG,Metal
1923-08-14,Frontier No. 1,Kemmerer,WY,99,Coal,Explosion,UG,Coal
1923-10-06,Midwest,Palisades,CO,6,Coal,Explosion,UG,Coal
1923-11-06,Glen Rogers,Beckley,WV,27,Coal,Explosion,UG,Coal
1923-12-07,Black Hawk,"Happy, Perry Co.",KY,9,Coal,Explosion,UG,Coal
1923-12-08,Mount Jessup No. 1,Jessup,PA,5,Coal,Roof fall/bump,UG,Coal
1924-01-25,McClintock,Johnston City,IL,33,Coal,Explosion,UG,Coal
1924-01-26,Lancashire No. 18,Shanktown,PA,36,Coal,Explosion,UG,Coal
1924-02-05,Milford,Crosby,MN,41,Manganiferous iron ore,Inrush of water,UG,Metal
1924-03-08,No. 2,Castle Gate,UT,172,Coal,Explosion,UG,Coal
1924-03-28,Yukon No. 2,Yukon,WV,26,Coal,Explosion,UG,Coal
1924-04-27,Benwood,Benwood,WV,119,Coal,Explosion,UG,Coal
1924-06-06,Loomis Colleries,Nanticoke,PA,14,Coal,Explosion,UG,Coal
1924-07-25,Gates No. 1,Brownsville,PA,10,Coal,Explosion,UG,Coal
1924-09-16,Sublet No. 5,Sublet,WY,39,Coal,Explosion,UG,Coal
1924-09-21,Rains,Rains,UT,5,Coal,Explosion,UG,Coal
1924-12-17,Burnett,Burnett,WA,7,Coal,Explosion,UG,Coal
1925-01-15,Diamond No. 1,Providence,KY,6,Coal,Explosion,UG,Coal
1925-02-20,City,Sullivan,IN,52,Coal,Explosion,UG,Coal
1925-03-17,Barrackville,Barrackville,WV,33,Coal,Explosion,UG,Coal
1925-04-25,Hutchison,Millgrove,PA,5,Coal,Explosion,UG,Coal
1925-04-25,New Slope,Sewickley,PA,5,Coal,Explosion,UG,Coal
1925-05-22,Woodward,Edwardsville,PA,7,Coal,Explosion,UG,Coal
1925-05-27,Carolina,Farmville,NC,53,Coal,Explosion,UG,Coal
1925-05-31,No. 2,Piper,AL,6,Coal,Explosion,UG,Coal
1925-06-08,No. 9,Sturgis,KY,17,Coal,Explosion,UG,Coal
1925-07-23,Rockwood,Rockwood,TN,10,Coal,Explosion,UG,Coal
1925-08-03,Dorrance,Wilkes-Barre,PA,10,Coal,Explosion,UG,Coal
1925-11-13,Finley,Madisonville,KY,5,Coal,Explosion,UG,Coal
1925-12-10,Overton No. 2,Irondale,AL,53,Coal,Explosion,UG,Coal
1925-12-14,Wilkeson,Tacoma,WA,5,Coal,Explosion,UG,Coal
1925-12-22,Webb,Bellaire,OH,9,Coal,Fire,UG,Coal
1926-01-13,No. 21,Wilburton,OK,91,Coal,Explosion,UG,Coal
1926-01-14,Jamison No. 8,Farmington,WV,19,Coal,Explosion,UG,Coal
1926-01-29,New Orient No. 2,West Frankfort,IL,5,Coal,Explosion,UG,Coal
1926-01-29,Mossboro No. 1,Helena,AL,27,Coal,Explosion,UG,Coal
1926-02-03,Horning No. 4,Horning,PA,20,Coal,Explosion,UG,Coal
1926-02-16,Nelson,Nelson,KY,8,Coal,Explosion,UG,Coal
1926-03-08,Eccles No. 5,Eccles,WV,19,Coal,Explosion,UG,Coal
1926-05-06,Randolph Colliery,Port Carbon,PA,5,Coal,Explosion,UG,Coal
1926-07-03,Pettebone Colliery # 6,Kingston,PA,7,Coal,Explosion,UG,Coal
1926-07-21,Dixie,Moffat,AL,9,Coal,Explosion,UG,Coal
1926-08-26,Clymer No. 1,Clymer,PA,44,Coal,Explosion,UG,Coal
1926-09-03,Tahona,Tahona,OK,16,Coal,Explosion,UG,Coal
1926-10-03,Rockwood,Rockwood,TN,27,Coal,Explosion,UG,Coal
