Date,Mine Name,City,State,Killed,Product,Accident Type,Mine Type,Mining Sector
1957-01-18,Evan Jones,Jonesville,AK,5,Coal,Explosion,UG,Coal
1957-02-04,Bishop No. 34,McDowell County,WV,37,Coal,Explosion,UG,Coal
1957-09-23,Marianna No. 58,Marianna,PA,6,Coal,Explosion,UG,Coal
1957-12-09,Glen Rogers No. 2,Glen Rogers,WV,5,Coal,Roof fall/bump,UG,Coal
1957-12-27,Amonate No. 31,McDowell Co.,WV,11,Coal,Explosion,UG,Coal
1958-02-12,Lundale,Lundale,WV,6,Coal,Roof fall/bump,UG,Coal
1958-10-27,Bishop No. 34,McDowell County,WV,22,Coal,Explosion,UG,Coal
1958-10-28,Burton Mine,Craigsville,WV,14,Coal,Explosion,UG,Coal
1959-01-22,River Slope,Port Griffith,PA,12,Coal,Inundation,UG,Coal
1959-03-23,Phillips and West,Robbins,TN,9,Coal,Explosion,UG,Coal
1959-06-01,Sherwood Mine,Iron River,MI,6,Iron ore,Inrush hot gases/steam,UG,Metal
1960-03-08,No. 22,Pine Creek,WV,18,Coal,Fire,UG,Coal
1961-03-02,Viking Mine,Terre Haute,IN,22,Coal,Explosion,UG,Coal
1962-01-10,Blue Blaze No. 2,Herrin,IL,11,Coal,Explosion,UG,Coal
1962-12-06,Robena No. 3,Carmichaels,PA,37,Coal,Explosion,UG,Coal
1963-04-24,Compass No. 2,Dola,WV,22,Coal,Explosion,UG,Coal
1963-08-28,Cane Creek Mine,Moab,UT,18,Potash,Gas explosion,UG,Metal
1963-12-16,Carbon Fuel No. 2,Helper,UT,9,Coal,Explosion,UG,Coal
1965-05-24,C. L. Cline No. 2,Robbins,TN,5,Coal,Explosion,UG,Coal
1965-10-16,Mars No. 2,Wilsonburg,WV,7,Coal,Explosion,UG,Coal
1965-12-28,Dutch Creek Mine,Redstone,CO,9,Coal,Explosion,UG,Coal
1966-06-01,Dora No.2,Dora,PA,5,Coal,Suffocation,UG,Coal
1966-07-23,Siltex Mine,Mt. Hope,WV,7,Coal,Explosion,UG,Coal
1968-03-06,Belle Isle Mine,Franklin,LA,21,Salt,Fire,UG,Nonmetal
1968-08-07,River Queen,Greenville,KY,9,Coal,Explosion,UG,Coal
1968-11-20,Consol No. 9,Farmington,WV,78,Coal,Explosion,UG,Coal
